Category,Brand,File,Offer Name,Headline,Subheadline,Referral Link,How It Works,Why Choose,Features,Disclaimer,Brand Class,YouTube Video
Media,Amazon Prime Video,amazon-prime-video.html,Earn with Amazon Prime Video ? Affiliate Offer,Earn with Amazon Prime Video,Promote Amazon Prime Video and earn commissions through the Amazon Associates program. Get paid for every new sign-up and enjoy top streaming rewards!,http://www.amazon.co.uk/gp/video/primesignup?ref_=acph_piv&tag=mmc1983-21,"Sign Up: Join the Amazon Associates program for free. | Share Your Link: Promote your unique Prime Video referral link to your audience via social media, email, or your website. | Earn Commission: Earn a commission for every new Prime Video sign-up via your link (see Amazon Associates rates). | Track Performance: Monitor your clicks, sign-ups, and earnings in your Amazon Associates dashboard.","Thousands of Movies & TV Shows: Award-winning Amazon Originals, new releases, and classics. | Watch Anywhere: Stream on smart TVs, mobile, tablets, laptops, and more. | Download & Go: Download select titles to watch offline on the go. | X-Ray Functionality: See cast, trivia, and more while you watch. | Flexible Plans: Choose monthly or annual subscriptions to fit your needs. | Prime Benefits: Included with Amazon Prime for even more value.","30-Day Free Trial: New users get a 30-day free trial. Cancel anytime. | Flexible Plans: Monthly or annual subscriptions available. | Easy Sign-Up: Quick and easy sign-up process for your referrals. | Prime Benefits: Prime Video is included with Amazon Prime membership. | X-Ray: See cast, trivia, and more while you watch. | Download & Go: Download select titles to watch offline.",Amazon Associates rates apply. Commissions paid for qualifying sign-ups and purchases. Terms and conditions apply. Amazon,amazon-prime-video,https://www.youtube.com/watch?v=CYDTW-Wj52M
Business Tools,Baremetrics,baremetrics.html,Earn 20% Recurring Commission with Baremetrics,Get $50 Baremetrics Credit,"Sign up for Baremetrics and get $50 in account credit. Plus, refer friends and earn recurring commissions for each successful referral!",https://baremetrics.com/?via=michael-mccallum,"Sign Up: Click above to create your Baremetrics account. | Connect Your Data: Integrate with Stripe, Braintree, Recurly, or Chargebee. | Get $50 Credit: Receive $50 account credit after your first payment. | Refer Friends: Share your referral link and earn 20% recurring commission for every successful referral. | Track Earnings: Monitor your referrals and commissions in your Baremetrics dashboard.","SaaS Analytics: MRR, ARR, churn, LTV, and more at a glance. | Real-Time Insights: Instant dashboards and daily email reports. | Easy Integrations: Connect with Stripe, Braintree, Recurly, and Chargebee in seconds. | Growth Tools: Forecasting, recoveries, and cancellation insights. | Global Support: Used by SaaS businesses worldwide. | Recurring Commissions: Earn ongoing rewards for every referral.","MRR & ARR: Track monthly and annual recurring revenue. | Churn Analysis: Understand and reduce customer churn. | Recoveries: Automated failed payment recovery tools. | Forecasting: Predict future growth and revenue. | Integrations: Connect with Stripe, Braintree, Recurly, and Chargebee. | Global Support: Access from anywhere.",Baremetrics is trusted by 900+ SaaS companies. $50 credit applies to new customers only. Terms and conditions apply.,brand-baremetrics,https://www.youtube.com/watch?v=QR1N_LVCSt8
Cashback,BeFrugal,befrugal.html,Earn $10 Bonus with BeFrugal,Earn $10 Bonus with BeFrugal,"Invite friends to BeFrugal and you both get a $10 bonus when your friend earns $10 in Cash Back. Shop, save, and earn together!",https://www.befrugal.com/rs/EANFFOJ/,Invite Friends: Share your BeFrugal referral link with friends and family. | They Join & Earn: Your friend joins BeFrugal and earns $10 in Cash Back. | You Both Get $10: You and your friend each get a $10 bonus. Repeat for more rewards! | Unlimited Referrals: Refer as many friends as you like and keep earning bonuses. | Track Progress: Easily monitor your referrals and bonuses in your BeFrugal account.,"Highest Cash Back: Get up to 40% cash back at 5000+ top stores. | Safe & Trusted: A+ BBB rating, 2M+ members, $100M+ paid out. | Flexible Payouts: Get paid via PayPal, direct deposit, Venmo, Zelle, check, or gift card. | Easy to Use: Shop via website, app, or browser extension for instant savings. | Unlimited Referrals: No cap on how much you can earn.","5,000+ Stores: Earn cash back at your favorite retailers, from Amazon to Walmart. | $10 Sign-Up Bonus: New members get a $10 bonus after earning $10 in cash back. | Referral Rewards: Earn $10 for every friend who qualifies. No limit! | Top Rated: 4.8/5 stars from 5,000+ reviews. Trusted by millions. | Flexible Payouts: Choose from PayPal, direct deposit, Venmo, Zelle, check, or gift card.",BeFrugal Refer-a-Friend: $10 bonus for you and your friend after your friend earns $10 in cash back. Terms and conditions apply. SeeBeFrugal Termsfor details.,brand-befrugal,https://www.youtube.com/watch?v=ne1xfgYw6DQ
Cashback,Cashback.co.uk,cashback-co-uk.html,Earn with Cashback.co.uk ? Refer & Earn,Earn with Cashback.co.uk,Refer friends to Cashback.co.uk and earn 10% of their earnings for life! Your friends get a ?10 welcome bonus (instead of ?5) when they join with your link.,https://www.cashback.co.uk/referred?by=06a00233-1f02398d-b77d-6470-a6aa-444230303032&utm_source=refer-and-earn,"Share Cashback: Invite friends with your unique link. No limit to your earnings! | Friends Get ?10: Your referrals get a ?10 welcome bonus (instead of ?5) when they join and earn ?10. | Earn 10% for Life: You earn 10% of your referral's earnings for life, after they earn ?10. | Track Referrals: Use your dashboard to see your friends' progress and your lifetime earnings.","Extra Cashback: Earn cashback for shopping, surveys, offers, and more. | Unlimited Referrals: Refer as many friends as you like and earn from each one. | Easy to Use: Simple dashboard to track your referrals and earnings. | Trusted Platform: Thousands of members earning real rewards in the UK. | Fast Payouts: Withdraw your earnings quickly and easily.","Shop & Earn: Get cashback for shopping at hundreds of UK retailers. | Bonus Offers: Earn extra with daily surveys, bonus offers, and more. | Ongoing Rewards: Keep earning 10% of your referrals' cashback for life. | Fast Payouts: Cash out your earnings quickly and easily. | Unlimited Referrals: No cap on how much you can earn.",Cashback.co.uk Refer & Earn: Your friends get a ?10 welcome bonus (instead of ?5) when they join and earn ?10. You earn 10% of their earnings for life. Terms apply. SeeCashback.co.uk Refer & Earnfor details.,brand-cashbackcouk,https://www.youtube.com/watch?v=FWOxgfKouAQ
Business Tools,EngageBay,engagebay.html,Earn 30% Recurring Commission with EngageBay,Get 20% Off EngageBay,"Sign up for EngageBay and get 20% off your first purchase. Plus, refer friends and earn recurring commissions for each successful referral!",https://www.engagebay.com?ref=6594648379490304,Sign Up: Click above to create your EngageBay account. | Choose a Plan: Pick the right plan for your business needs. | Get 20% Off: Apply your discount at checkout on your first purchase. | Refer Friends: Share your referral link and earn 30% recurring commission for every successful referral. | Track Commissions: Monitor your referrals and earnings in your EngageBay dashboard.,"All-in-One CRM: Marketing, sales, and support tools in one platform. | Affordable Pricing: Plans start free, with paid options for growing teams. | Easy Automation: Automate marketing, sales, and support workflows. | Secure & Reliable: GDPR compliant and trusted by 46,000+ businesses. | Mobile App: Manage your business on the go. | Recurring Commissions: Earn ongoing rewards for every referral.","Email Marketing: Send beautiful emails and automate campaigns. | Sales CRM: Track leads, deals, and sales pipelines. | Live Chat: Engage website visitors in real time. | Analytics: Monitor performance with detailed reports. | Mobile App: Manage your business on the go. | Integrations: Connect with your favorite tools.","EngageBay is trusted by 46,000+ businesses. 20% discount applies to new customers only. Terms and conditions apply.",brand-engagebay,https://www.youtube.com/watch?v=3eBfV8dQJcI
Business Tools,Fiverr,fiverr.html,Earn Up to $100 per Referral with Fiverr,Get 10% Off Your First Fiverr Order,"Sign up for Fiverr and get 10% off your first order. Plus, refer friends and earn up to $100 for each successful referral!",https://www.fiverr.com/pe/AydjxR3,"Sign Up: Click above to create your Fiverr account. | Find a Freelancer: Browse thousands of gigs in design, writing, tech, and more. | Get 10% Off: Apply your discount at checkout on your first order. | Refer Friends: Share your referral link and earn up to $100 for each successful referral. | Track Rewards: View your referral status and rewards in your Fiverr account.",Global Talent: Access top freelancers from around the world. | Affordable Pricing: Gigs start from just ?5. No hidden fees. | Fast Turnaround: Get your project delivered quickly and efficiently. | Safe & Secure: Secure payments and 24/7 support. | Mobile App: Manage your orders and chat with freelancers on the go. | High Referral Rewards: Earn up to $100 per referral.,"Design: Logos, branding, web design, and more. | Writing: Copywriting, blog posts, and editing. | Tech: Programming, websites, and IT support. | Marketing: SEO, social media, and advertising. | Music & Audio: Voiceovers, mixing, and more. | Fast Turnaround: Get your project delivered quickly.",Fiverr is the world's largest freelance marketplace. 10% discount applies to new customers only. Terms and conditions apply.,brand-fiverr,https://www.youtube.com/watch?v=GArNqvlmrjU
Networks,Giffgaff,giffgaff.html,Get ?5 Free Credit with Giffgaff,Get ?5 Free Credit with Giffgaff,"Order a free SIM and activate with ?10 to get ?5 extra credit. Flexible, no-contract plans and free EU roaming!",https://www.giffgaff.com/orders/affiliate/michaelm19582,"Order a Free SIM: Click above to order your free Giffgaff SIM card. | Activate with ?10: Top up ?10 or more to activate your SIM and unlock your ?5 bonus credit. | Enjoy Flexible Plans: Pick a goodybag or pay as you go. No contracts, cancel anytime. | Refer & Earn: Share your referral link and earn ?5 for every friend who activates a SIM. | Track Bonuses: Monitor your referrals and bonuses in your Giffgaff account.","Flexible Plans: Change or pause your plan anytime. No contracts, ever. | Free EU Roaming: Use your UK allowance in the EU at no extra cost (up to 5GB/month). | Great Value: Goodybags from ?6/month. Unlimited texts and calls on all plans. | Keep Your Number: Switch easily and keep your existing number with a simple PAC code. | Refer & Earn: Earn ?5 for every friend you refer who activates a SIM. | O2 Network: Reliable coverage and fast 4G/5G speeds on the O2 network.","?6 Goodybag: 2GB data, unlimited calls & texts. Great for light users. | ?10 Goodybag: 15GB data, unlimited calls & texts. Most popular plan. | ?20 Goodybag: Always On data, unlimited calls & texts. Perfect for heavy users. | Free EU Roaming: Use your UK allowance in the EU at no extra cost. | Keep Your Number: Switch easily with a PAC code.","Giffgaff is a flexible, no-contract network powered by O2. ?5 bonus applies to new activations only. Terms and conditions apply.",brand-giffgaff,https://www.youtube.com/watch?v=W143eD2GImY
Business Tools,Mail Blaze,mailblaze.html,Earn Commissions with Mail Blaze Affiliate Program,Get 10% Off Mail Blaze,"Sign up for Mail Blaze and get 10% off your first purchase. Plus, refer friends and earn affiliate commissions for each successful referral!",https://www.mailblaze.com?affiliateid=CEE8,Sign Up: Click above to create your Mail Blaze account. | Choose a Plan: Pick the right plan for your business needs. | Get 10% Off: Apply your discount at checkout on your first purchase. | Refer Friends: Share your referral link and earn affiliate commissions for each successful referral. | Track Performance: Monitor your referrals and commissions in your Mail Blaze dashboard.,"Email Marketing: Send beautiful, responsive emails with ease. | Affordable Pricing: Plans for every business, with no hidden fees. | Easy Automation: Automate campaigns and workflows in minutes. | Secure & Reliable: GDPR compliant and trusted by thousands of businesses. | Mobile App: Manage your campaigns on the go. | Affiliate Commissions: Earn for every successful referral.","Analytics: Track opens, clicks, and campaign performance. | Integrations: Connect with your favourite tools and platforms. | List Management: Segment and manage your subscribers easily. | Templates: Choose from dozens of professional templates. | Mobile App: Manage campaigns on the go.",Mail Blaze is trusted by thousands of businesses. 10% discount applies to new customers only. Terms and conditions apply.,brand-mailblaze,https://www.youtube.com/watch?v=tscemi4a6ng
Banking,Monzo,monzo.html,Get up to ?50 with Monzo,Get ?5 Free with Monzo,"Open a Monzo account with the link below, make a card payment, and get ?5 free! Enjoy smart banking, instant notifications, and no monthly fees.",https://monzo.com/invite/cfcmalky,Sign Up: Click above to start your Monzo application. It only takes a few minutes! | Verify & Activate: Complete ID checks and activate your new Monzo debit card. | Make a Card Payment: Spend with your Monzo card to unlock your ?5 bonus. | Refer Friends: Share your referral link and earn up to ?50 for successful referrals. | Track Rewards: View your referral progress and bonuses in your Monzo app.,"Smart Banking: Instant notifications, spending insights, and budgeting tools. | No Fees: No monthly fees, no charges for spending abroad, and free UK bank transfers. | Safe & Secure: FSCS protected up to ?85,000. Freeze your card instantly if lost. | Innovative Features: Pots for saving, bill splitting, salary sorter, and more. | Travel Friendly: Use your card abroad with no extra fees and great exchange rates. | Joint Accounts: Open a joint account in minutes for easy shared spending.","Smart Banking: Instant notifications, spending insights, and budgeting tools. | No Fees: No monthly fees, no charges for spending abroad, and free UK bank transfers. | Safe & Secure: FSCS protected up to ?85,000. Freeze your card instantly if lost. | Innovative Features: Pots for saving, bill splitting, salary sorter, and more. | Travel Friendly: Use your card abroad with no extra fees and great exchange rates. | Joint Accounts: Open a joint account in minutes for easy shared spending.",Monzo is a fully regulated UK bank. ?5 bonus applies to new customers only. Terms and conditions apply.,brand-monzo,https://youtu.be/y2oKP21VCFw?si=s1nXFrzLVL_FUubz
Business Tools,Neuraltext,neuraltext.html,Earn Affiliate Commissions with NeuralText,Get 20% Off NeuralText,"Sign up for NeuralText and get 20% off your first purchase. Plus, refer friends and earn affiliate commissions for each successful referral!",https://neuraltext.com/?via=refer2earn,Sign Up: Click above to create your NeuralText account. | Choose a Plan: Pick the right plan for your needs. | Get 20% Off: Apply your discount at checkout on your first purchase. | Refer Friends: Share your referral link and earn affiliate commissions for each successful referral. | Track Earnings: Monitor your referrals and commissions in your NeuralText dashboard.,"AI Content: Generate blog posts, ads, and product descriptions in seconds. | SEO Tools: Optimize your content for search engines and outrank competitors. | Fast & Easy: Create, optimize, and publish content in minutes. | Affordable: Plans for every budget, with no hidden fees. | Web App: Access from any device, anywhere. | Affiliate Commissions: Earn for every successful referral.","Content Generator: Create articles, ads, and more with AI. | Keyword Research: Find the best keywords for your niche. | SEO Audit: Analyze and improve your website's SEO. | Content Planner: Plan and organize your content calendar. | Integrations: Connect with your favorite tools.",NeuralText is trusted by marketers worldwide. 20% discount applies to new customers only. Terms and conditions apply.,brand-neuraltext,https://www.youtube.com/watch?v=MK6iBawP5-U
